operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9324674, 40.8604265], [-73.9323228, 40.8605263], [-73.9321889, 40.8607696], [-73.9321849, 40.8609356], [-73.9322859, 40.8609798], [-73.932325, 40.8609305], [-73.9323424, 40.8609281], [-73.9323642, 40.8609324], [-73.9323835, 40.8609459], [-73.9324068, 40.8608359], [-73.9324141, 40.8608014], [-73.9324419, 40.8606683], [-73.9324643, 40.8605821], [-73.9324979, 40.8604685], [-73.9325126, 40.8604371], [-73.9324674, 40.8604265]]",243,street_side,N/A,N/A,"[-73.93234874999999, 40.860703150000006]","[-1.2903629094202138, 0.7131538046475185]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9326532, 40.8604222], [-73.9327218, 40.8604381], [-73.9326613, 40.8606216], [-73.9326087, 40.8608406], [-73.9325851, 40.8610071], [-73.9325085, 40.8610005], [-73.9325349, 40.8608496], [-73.9325376, 40.860834], [-73.9325906, 40.8606076], [-73.9325997, 40.8605763], [-73.9326532, 40.8604222]]",243,street_side,N/A,N/A,"[-73.93261515, 40.860714650000006]","[-1.2903675589773413, 0.7131540053603825]"
Icon Parking,parking,-1.0,N/A,LineString,Lincoln Center Park and Lock Garage,"[[-73.9854675, 40.7724307], [-73.9846345, 40.7736219], [-73.9828354, 40.7728741], [-73.9828289, 40.7727838], [-73.9836366, 40.7716604], [-73.9842271, 40.771929], [-73.9842475, 40.7719364], [-73.9842942, 40.7719558], [-73.9843153, 40.7719643], [-73.9843523, 40.7719791], [-73.9844163, 40.7720047], [-73.9844771, 40.7720289], [-73.9854675, 40.7724307]]",142,underground,N/A,N/A,"[-73.98414819999999, 40.77264115]","[-1.291266980373436, 0.7116168328016271]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.972467, 40.7408101], [-73.9724042, 40.7407963], [-73.9723404, 40.7407883], [-73.9721022, 40.7419079], [-73.9723308, 40.7419383], [-73.9723673, 40.7417674], [-73.9723108, 40.7415798], [-73.972467, 40.7408101]]",137,surface,N/A,N/A,"[-73.9722846, 40.7413633]","[-1.2910599214922966, 0.7110709313361824]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9992929, 40.7130878], [-74.0007009, 40.7127808], [-74.0007041, 40.7125847], [-73.9995484, 40.7128388], [-73.9992792, 40.713026], [-73.9992929, 40.7130878]]",45,surface,N/A,N/A,"[-73.99999165, 40.712836249999995]","[-1.2915435007408114, 0.7105730403878011]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9981052, 40.709991], [-73.9980845, 40.7099943], [-73.9981146, 40.7101002], [-73.9981352, 40.7100969], [-73.9981052, 40.709991]]",45,N/A,N/A,N/A,"[-73.99810984999999, 40.7100456]","[-1.291510657134947, 0.7105243343570304]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.998119, 40.7101158], [-73.9981397, 40.7101125], [-73.9981838, 40.710268], [-73.9981632, 40.7102714], [-73.998119, 40.7101158]]",45,N/A,N/A,N/A,"[-73.99815140000001, 40.71019195]","[-1.2915113823192517, 0.7105268886463908]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9979625, 40.7098489], [-73.997929, 40.7097191], [-73.9979813, 40.7097087], [-73.9979934, 40.7096944], [-73.9980368, 40.7098551], [-73.9980122, 40.7098451], [-73.9979625, 40.7098489]]",45,N/A,N/A,N/A,"[-73.9979829, 40.709774749999994]","[-1.2915084414394618, 0.7105196071327513]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9981779, 40.7103232], [-73.9981985, 40.7103199], [-73.9983573, 40.7108794], [-73.9983367, 40.7108828], [-73.9981779, 40.7103232]]",45,N/A,N/A,N/A,"[-73.99826759999999, 40.710601350000005]","[-1.2915134103918422, 0.7105340340243486]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9678714, 40.7941226], [-73.9675558, 40.7945464], [-73.968144, 40.7947976], [-73.9684597, 40.7943739], [-73.9678714, 40.7941226]]",151,N/A,N/A,N/A,"[-73.96800775, 40.7944601]","[-1.2909852763781826, 0.7119976453184552]"
